t,yt,yt-1,xt
1,1577,,1286
2,1642,1577,1228
3,1609,1642,1292
4,1807,1609,1674
5,1748,1807,1261
6,1760,1748,1263
7,1869,1760,1102
8,1507,1869,1174
9,1014,1507,1114
10,1264,1014,1026
11,1459,1264,990
12,1292,1459,1080
13,1173,1292,983
14,1168,1173,956
15,1195,1168,834
16,1518,1195,804
17,1223,1518,873
18,1171,1223,968
19,1048,1171,983
20,914,1048,1059
